experiment	group	t24	t48	t72	t96
NE61	WT	110000	250000	355000	870000
NE61	KO	115000	185000	446666	1085000
NE62	WT	155000	285000	260000	580000
NE62	KO	125000	245000	290000	600000
NE63	WT	185000	1540000	2445000	2020000
NE63	KO	190000	610000	1990000	2310000
NE63	KO	110000	805000	2680000	1500000
NE64	WT	290000	185000	420000	480000
NE64	KO	170000	235000	410000	473333
NE78	WT	9250	16000	20750	36000
NE78	KO	27500	33500	40000	75500
NE79	WT	7000	45000	56500	82000
NE79	KO	7500	76750	123500	291000
NE80	WT	18500	60500	154750	200000
NE80	WT	9250	34750	133000	190000
NE80	KO	4500	16750	90500	118000
NE80	KO	5500	18250	102000	140000
